;2019;2020;
;M€;M€;%
Secteur privé;155931.86094681782;147446.56062587447;-5.441671938897308
Secteur public;27432.6135931268;28028.664764087556;2.1727830231607737
Travailleurs indépendants;10899.509320860003;7851.467276119999;-27.96494736608477
Salariés agricoles;2299.1231409700003;1999.4182272499997;-13.035618161520269
Exploitants agricoles;483.35032219;471.0541906200001;-2.5439378035971183
EPM;3009.5955762212297;2756.3195451290835;-8.415616805569371
Autres actifs*;4232.734040310489;3994.0238957789193;-5.639620686256475
Inactifs;909.7543145636768;905.79968224;-0.43469234059894113
Majorations et pénalités;573.07613262;340.63283250000006;-40.56063180598909
Cotisations brutes;205771.61738768002;193793.94103960003;-5.820859310015369
;;;
;;;
Tableau 1 ● Cotisations des régimes de base par catégorie de cotisants;;;
