 En Md€;"CCSS
2021 (p)";;"LFSS
2021 (p)";Écart ;Écart en %;;Réalisé 2020;Écart .1;"Écart 
en %"
Maladie;227.9;;217.6;10.300000000000011;0.047334558823529466;;238.8;-10.900000000000006;-0.045644891122278076
AT-MP;12.7;;12.7;0.0;0.0;;12.3;0.3999999999999986;0.03252032520325192
Vieillesse;142.6;;144.7;-2.0999999999999943;-0.014512785072563887;;139.6;3;0.021489971346704873
Famille;49.3;;49.3;0.0;0.0;;50;-0.7000000000000028;-0.014000000000000058
Autonomie;32.1;;31.6;0.5;0.01582278481012658;;--;--;--
RG;450.7;;442.0;8.699999999999989;0.01968325791855201;;427.8;22.899999999999977;0.053529686769518414
FSV;19.3;;19.2;0.10000000000000142;0.005208333333333408;;19.1;0.1999999999999993;0.010471204188481638
RG+FSV;452.3;;443.7;8.600000000000023;0.019382465629930186;;429.4;22.900000000000034;0.05333022822543092
