;charges nettes des branches du régime général et du FSV;;;;;;;;;
;;;;;;;;;;
;en Md€;Réalisé 2020;;LFSS 2020;Écart ;"Écart 
en %";;Réalisé 2019;Écart ;"Ecart
en %"
;Maladie;238.75700035120994;;222.3;16.457000351209928;0.07403059087363889;;216.6;22.157000351209945;0.10229455379136632
;AT-MP;12.274310686129999;;12.2;0.07431068612999958;0.006091039846721278;;12.2;0.07431068612999958;0.006091039846721278
;Famille;49.970424115875;;50.3;-0.32957588412499916;-0.006552204455765391;;49.9;0.07042411587499942;0.0014113049273546978
;Vieillesse;139.64223602914996;;141.7;-2.057763970850033;-0.014521975799929662;;137.1;2.5422360291499615;0.018542932378920216
;Total régime général;427.7583361853118;;413.2;14.558336185311816;0.035233146624665576;;402.8;24.958336185311794;0.06196210572321696
;FSV;19.12634361086;;18.2;0.9263436108600018;0.0508980005967034;;18.8;0.3263436108600004;0.01735870270531917
;Régime général + FSV;429.4412184208318;;414.8;14.641218420831763;0.035297055016470014;;404.5;24.941218420831774;0.06165937804902787
;;;;;;;;;;
;Source : Cour des comptes, d’après les données de la LFSS 2020 et de la CCSS de juin 2021;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;charges nettes tous ROBSS;;;;;;;;;
;;;;;;;;;;
;Maladie;240.2111843756005;;223.8;16.4111843756005;0.07332968889901921;;218.1;22.111184375600516;0.10138094624301017
;AT-MP;13.58548562684984;;13.6;-0.014514373150159798;-0.001067233319864691;;13.6;-0.014514373150159798;-0.001067233319864691
;Famille;49.994373485875;;50.3;-0.3056265141249952;-0.006076073839463125;;49.9;0.09437348587500338;0.0018912522219439556
;Vieillesse;245.93452456337522;;247.3;-1.3654754366247914;-0.0055215343171241054;;241.3;4.634524563375209;0.01920648389297641
;Total régimes de base;536.3360128223675;;521.3;15.036012822367525;0.028843301021230627;;509.3;27.036012822367468;0.05308465113364906
;FSV;19.12634361086;;18.2;0.9263436108600018;0.0508980005967034;;18.8;0.3263436108600004;0.01735870270531917
;Régimes de base + FSV;536.7651154779275;;521.8;14.965115477927498;0.02867979202362495;;509.7;27.065115477927463;0.053100089224892025
;;;;;;;;;;
;Source : envoi DSS corrigé du 27 mai 2021;;;;;;;;;
