;;;;;;;;;;;
;;;;;;;;;;;
;En M€;"Réalisé 
2020 (p)";;Révision de l'objectif;LFSS 2020;Écart ;"Écart 
en %";;"Réalisé 
2019";Écart ;"Écart 
en %"
;personnes âgées;11957.63;;10935.43;9957.99672913565;1999.6332708643495;0.20080678124885434;;9578.279756130001;2379.350243869998;0.24841101997957807
;pers. handicapées;12012.300000000001;;11931.56;11668.170347680567;344.1296523194342;0.029493026075664147;;11356.764326910003;655.5356730899985;0.05772204601769344
;ONDAM médico-social;23969.93;;22866.989999999998;21626.167076816215;2343.7629231837855;0.10837625155020453;;20935.044083040004;3034.8859169599964;0.1449667793830266
;;;;;;;;;;;
;Source : Cour des comptes d’après le rapport de la CCSS de juin 2021;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Réalisé 2020 provisoire;;Révision de l'objectif;Objectif 2020 (LFSS 2020);Ecart;"Ecart 
en %";;Réalisé 2019 définitif;Ecart;"Ecart 
en %"
;Objectif global de dépense;25494.7;;24624.27;23223.6;2271.100000000002;0.09779276253466311;;22336.192526616356;3158.5074733836445;0.1414076042557338
;PA;13125.2;;12228.01;11108.7;2016.5;0.18152439079280203;;10592.413498433552;2532.7865015664484;0.23911325798799365
;PH;12369.5;;12396.26;12114.9;254.60000000000036;0.0210154437923549;;11743.779028182804;625.7209718171962;0.05328105802362141
