;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Déficits du RG+FSV, ONDAM à 2,4%;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Déficit cumulé hyp 2;;;-15.600000000000001;-23.96366737000001;-31.578187763157516;-37.791142125357645;-40.64444443788838;-39.729822703607326;-35.33881466943781;-26.66276345048239;-13.092813053491001;;;;;;;;
;Déficit RG + FSV hyp 3;;;-15.600000000000001;-10.563667370000005;-13.314520393157505;-14.01295436220013;-14.553302312530736;-13.185378265718946;-13.708991965830482;-13.323948781044582;-11.930049603008609;;-120.19281305349098;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;2020;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0;2027.0;2028.0;2029.0;2030.0;;;;;;;;
;Recettes Cades;17.62;18.57;18.948809999999998;19.336332629999994;17.385479606842495;17.08704563779987;17.446697687469264;17.814621734281054;18.191008034169517;18.576051218955417;18.96995039699139;;;;;;;;
;CRDS;7.26;7.7;7.8770999999999995;8.058273299999998;8.243613585899997;8.433216698375697;8.627180682438336;8.825605838134416;9.028594772411507;9.236252452176972;9.448686258577041;;;;;;;;
;CSG;8.26;8.77;8.971709999999998;9.178059329999996;7.041866020942497;7.203828939424174;7.369517005030929;7.53901589614664;7.7124132617580115;7.889798766778445;8.071264138414348;;;;;;;;
;FRR;2.1;2.1;2.1;2.1;2.1;1.45;1.45;1.45;1.45;1.45;1.45;;;;;;;;
;Dépenses;-1.3200000000000003;-2.0700000000000003;-2.1488099999999974;-2.0363326299999933;-1.8854796068424946;-1.187045637799871;-1.0466976874692655;-0.9146217342810559;-0.6910080341695171;-0.4760512189554156;-0.269950396991387;;;;;;;;
;Solde;16.3;16.5;16.8;17.3;15.5;15.9;16.4;16.9;17.5;18.1;18.700000000000003;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Trajectoire macro-Trésor à fin janvier;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;2020;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0;2027.0;2028.0;2029.0;2030.0;;;;;;;;
;CNAM;-31.6;-19.0;-17.1;-16.0;-15.6;-15.2;;;;;-10.7;;;;;;;;
;CNAM-AT;-0.2;0.5;1.1;1.4;1.8;2.0;;;;;3.7;;;;;;;;
