;;;;;;;;;
;;;;;;;;;
;Md€;Réalisé 2020;;LFSS 2020;Ecart;Ecart (%);Réalisé 2019;Ecart;Ecart (%)
;Maladie, maternité et AT MP;222.634169225052;;222.3;42.35699999999997;0.19053981106612672;205.69107490810802;16.943094316943984;0.08237155804894923
;dont Ondam;211.643961594542;;12.2;1.2390000000000008;0.1015573770491804;194.712549888588;16.93141170595399;0.08695593435370204
;dont hors Ondam;10.99020763051;;50.3;1.3000000000000043;0.025844930417495117;10.978525019520001;0.011682610989998565;0.0010641330205311448
;Invalidité;6721.40946317;;141.7;2.600194365310017;0.018349995520889326;6630.167138200001;91.24232496999866;0.013761693041537666
;Décès;116.45666501999999;;;;;103.18724543;13.269419589999984;0.12859554041494084
;Vieillesse;132652.62201504;;;;;129187.59954025003;3465.022474789963;0.026821633710365455
;Veuvage;40.73748835;;;;;47.13987475;-6.4023863999999975;-0.1358167885246661
;Famille;29269.47720639191;;;;;29020.791552941824;248.68565345008756;0.008569223654579416
;Provisions;15.527653710000003;;;;;22.144644669999995;-6.616990959999992;-0.29880772794535854
;Total prestations légales nettes;169038.86466090695;;;;;165216.72107114998;3822.1435897569754;0.023134120838235153
;Prestations extra-légales;6083.884024830001;;;;;6092.043311559999;-8.159286729997802;-0.0013393349838001138
;Total prestations sociales nettes;175122.74868573697;;;;;171308.76438270998;3813.984303026984;0.022263801369242293
;Transferts nets;19763.678728956987;;;;;15435.443875582303;4328.2348533746845;0.2804088361994968
;Charges de gestion courante;12012.80602193436;;;;;12046.855100458297;-34.04907852393626;-0.002826387321836463
;Autres charges nettes;129.96992837659002;;;;;225.28363340844;-95.31370503184999;-0.42308313120574503
;Total charges nettes;207029.20336500488;;;;;199016.346992159;8012.856372845883;0.04026230253920589
