;exécution 2020 de l’Ondam « hospitalier »;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;En M€;"Réalisé 
2020 (p)";;;;;LFSS 2020;Écart ;"Écart 
en %";;"Réalisé 
2019 ";Écart ;"Écart 
en %";;M€;Réalisé 2019 définitif à périmètre 2020;"Objectif initial 2020
(LFSS 2020)";"Obecif 2020 révisé
(LFSS 2021)";A - Réalisé 2020 provisoire;B - Ecart à l'objectif 2020 initial (LFSS 2020);C - Ecart à l'objectif 2020 révisé (LFSS 2021);"D - Variation Réalisé 2020/2019*
En M€";"E - Variation 2020/2019* 
en %";"Variation 2019/2018**
en %"
;Médecine, chirurgie, obstétrique;56237.6004537939;;;;;52210.76353408722;4026.8369197066786;0.07712656638468135;;50720.81033461895;5516.790119174948;0.10876778353459234;;Établissements de santé (1)+(2)+(3)+(4);82505.44589936812;84382.64795024076;89976.73228806858;89726.01158886185;5343.363638621086;-250.72069920673675;7220.565689493729;0.0875162313321796;0.02447513210916185
;dont MIGAC;12125.019930000002;;;;;7335.4267945499;4789.593135450103;0.6529399405919627;;7091.624809770001;5033.395120230001;0.7097661333261153;;(1) Établissements publics;67356.01995215056;69283.63506769415;75021.06190518432;73714.7256144839;4431.090546789754;-1306.3362907004193;6358.705662333345;0.0944044150300232;0.021213490027845
;Psychiatrie;10861.437785000002;;;;;10546.351364613409;315.0864203865931;0.029876343912058064;;10311.079387863429;550.3583971365733;0.05337543979967492;;ODMCO;50720.81033461895;52210.76353408722;57948.190371577395;56237.6004537939;4026.836919706678;-1710.5899177834976;5516.79011917495;0.10876778353459236;0.026913569904029103
;Soins de suite et de réadaptation;6615.68737569;;;;;6526.520168993512;89.16720669648839;0.01366228930389398;;6324.130229668178;291.5571460218225;0.04610233114018594;;dont activité tarifée MCOO;43516.854442798955;44543.65139286504;44320.647194379984;43866.5705625639;-677.0808303011363;-454.0766318160822;349.716119764948;0.008036337282250833;0.027786996565445754
;Total ES publics et privés non lucratifs;73714.7256144839;;;;;69283.63506769414;4431.090546789768;0.06395580345142594;;67356.01995215056;6358.705662333348;0.09440441503002325;;IFAQ MCOO;112.33108205;331.68534667228533;331.68534667228533;246.00996123;-85.67538544228535;-85.67538544228535;133.67887917999997;1.190043545743624;-0.37674760132287705
;Médecine, chirurgie, obstétrique;11925.61950607692;;;;;11179.163875910317;746.4556301666034;0.06677204471213816;;11038.632215947553;886.9872901293675;0.08035300685604269;;;;;;;;;;;
;dont MIGAC;701.1160737434877;;;;;NC*;;;;143.52783901000004;557.5882347334878;3.884878631069188;;dont MIGAC (1);7091.624809770001;7335.4267945499;13295.857830525132;12125.019930000002;4789.5931354501;-1170.83790052513;5033.395120230001;0.7097661333261153;0.03212104075513357
;Psychiatrie;807.8191961268493;;;;;817.7379192176228;-9.918723090773483;-0.012129464535854348;;804.3881517000002;3.4310444268490983;0.0042654089566062136;;ODAM;10311.079387863429;10546.351364613409;10546.351364613412;10861.437785000002;315.0864203865931;315.08642038658945;550.3583971365733;0.05337543979967492;-0.34309520387145326
;Soins de suite et de réadaptation;2578.9830864141695;;;;;2406.4718324186715;172.511253995498;0.0716863798992038;;2407.1342028600006;171.84888355416888;0.07139148425957688;;DAF hors USLD;9306.156675801823;9516.922015962711;9516.922015962715;9756.317442920003;239.39542695729142;239.39542695728778;450.16076711817914;0.04837236066406469;-0.36660006419580354
;Total ES privés lucratifs;15312.42178861794;;;;;14403.37362754661;909.0481610713286;0.06311355829392386;;14250.154570507555;1062.2672181103844;0.07454425935202674;;USLD;1004.9227120616066;1029.4293486506976;1029.4293486506976;1105.12034208;75.69099342930235;75.69099342930235;100.1976300183934;0.09970680214087031;0.0025482337260789635
;Dotations non régulées;249.94353556000002;;;;;247;2.943535560000015;0.011917148016194394;;252.27137670999997;-2.327841149999955;-0.009227527832758998;;;;;;;;;;;
;FMESPP;448.9206502;;;;;448.63925500000005;0.2813951999999631;0.0006272193011731955;;647;-198.0793498;-0.3061504633693972;;ODSSR;6324.130229668178;6526.520168993512;6526.520168993513;6615.68737569;89.16720669648839;89.16720669648748;291.55714602182286;0.046102331140186;6.2950689421039945
;Total établissements de santé;89726.01158886185;;;;;84382.64795024075;5343.3636386211;0.06332301448719654;;82505.44589936812;7220.565689493727;0.08751623133217958;;dont MIG;153.55239179;195.99593572810295;195.99593572810295;203.32225995000005;7.326324221897096;7.326324221897096;49.769868160000044;0.3241230408710656;0.0033344128247744546
;;;;;;;;;;;;;;;dont DAF;5530.131042528177;5611.510445291187;5611.510445291188;5746;134.48955470881265;134.48955470881174;215.8689574718228;0.03903505284264209;99.792283953
;* La décomposition des MIGAC entre secteurs n’est pas déterminée dans les objectifs;;;;;;;;;;;;;;dont DMA;611.52553399;640.9562595374199;640.9562595374198;614.35456792;-26.601691617419874;-26.60169161741976;2.829033930000037;0.0046261910137121096;-0.012914456103707301
;Source : Cour des comptes d’après les informations de la direction de la sécurité sociale;;;;;;;;;;;;;;dont IFAQ;19.27308503;68.31465332771467;68.31465332771467;41.678814049999986;-26.63583927771468;-26.63583927771468;22.405729019999985;1.1625398313307802;-0.3848956972468959
;;;;;;;;;;;;;;;dont ACE;9.648176329999998;9.742875109086338;9.742875109086338;10.33173377;0.5888586609136617;0.5888586609136617;0.6835574400000013;0.07084835689357695;-0.07665713093005562
;;;;;;;;;;;;;;;(2) Établissements privés;14250.154570507555;14403.37362754661;14260.031127884264;15312.42178861794;909.0481610713286;1052.3906607336758;1062.267218110384;0.07454425935202671;0.026452863965620285
;;;;;;;;;;;;;;;ODMCO;11038.632215947553;11179.163875910317;11035.821376247968;11925.61950607692;746.4556301666031;889.798129828952;886.9872901293659;0.08035300685604255;0.02674752431809625
;;;;;;;;;;;;;;;dont activité tarifée MCOO;10841.127447767554;11179.163875910317;11035.821376247968;11126.939488863432;-52.22438704688466;91.11811261546427;285.81204109587816;0.02636368241891056;0.02591456914396016
;;;;;;;;;;;;;;;IFAQ MCOO;53.976929170000005;NC;NC;97.56394347;97.56394347;97.56394347;43.58701429999999;0.8075119309348436;0.5200006917832779
;;;;;;;;;;;;;;;dont MIGAC (1);143.52783901000004;NC;NC;701.1160737434877;701.1160737434877;701.1160737434877;557.5882347334878;3.884878631069188;-0.031992598623617065
;;;;;;;;;;;;;;;OQN PSY;804.3881517000002;817.7379192176228;817.7379192176228;807.8191961268493;-9.918723090773483;-9.918723090773483;3.4310444268490983;0.0042654089566062136;0.05505155690670902
;;;;;;;;;;;;;;;dont coefficient prudentiel;;0;;47.86432112684929;47.86432112684929;47.86432112684929;;-;-
;;;;;;;;;;;;;;;OD SSR;2407.1342028600006;2406.4718324186715;2406.4718324186724;2578.9830864141695;172.511253995498;172.5112539954971;171.84888355416896;0.07139148425957692;0.016106224033181397
;;;;;;;;;;;;;;;dont OQN SSR;2387.4014746600005;2144.263064689892;2144.2630646898924;2151.681711515151;7.418646825259202;7.418646825258747;-235.71976314484937;-0.0987348653533102;0.020400401369533198
