;Chiffres DSS donnés;;;;;;;;;;;Réalisé 2020;;;;;;;;;
;;;;;;;;;;;;;Maladie;Vieillesse;Famille;AT-MP;Régime général (Md€);FSV;RG+FSV (Md€);;
;(M€);2020;2019.0;Ecart;LFSS 2021;;;;;;;CHARGES NETTES;238757.00035120995;139642.23602914996;49970.424115875;12274.310686129998;427758.3361853118;19126.34361086;429441.2184208318;;
;Prestations légales;31287;31407.0;-120;31386;;;;;;;Prestations sociales nettes;220234.23573317198;133024.20593655;36732.005947515005;9369.97630035;397534.28374156385;0;397534.28374156385;;
;Prestations extralégales;5638;5633.0;5;5788;;;;;;;Prestations légales nettes;219949.693334422;132693.35950338998;31095.617382415006;9369.97630035;391282.50634455384;0;391282.50634455384;;
;Dot aux provisions et pertes nettes sur créances;123;14.0;109;106;;;;;;;Prestations extralégales nettes;116.64902657000002;330.84643316;5636.388565100001;0;6083.884024830001;0;6083.884024830001;;
;Total prestations nettes;37048;37055.0;-7;37280;;;;;;;Autres prestations nettes;167.89337218000006;0;0;0;167.89337218000006;0;167.89337218000006;;
;Financement ALT;17;15.0;2;15;;;;;;;Transferts nets;11889.20020350699;5085.2238830999995;10281.142472309999;1986.3073862699998;18182.379124156992;18998.540980140002;19763.678728956987;;
;AVPF;4947;4992.0;-45;4997;;;;;;;Transferts avec d'autres régimes de base;1026.3600479569911;5085.2238830999995;5240.84724537;1639.93474071;6406.57198558699;18709.92869014;6406.57198558699;;
;Prise en charge majorations pensions pour enfants;4994;4927.0;67;5006;;;;;;;Transfert avec des fonds;9985.07539557;0;5040.295226939999;289.87399343;10841.54372646;0;12134.23104126;;
;Autres;324;342.0;-18;356;;;;;;;Autres transferts versés;877.76475998;0;0;56.49865213;934.26341211;288.61229;1222.87570211;;
;Total transferts versés nets;10281;10277.0;4;10374;;;;;;;Charges de gestion courante;6593.55797759201;1526.7525554;2891.835758842349;901.55187383;11913.69816566436;125.80785627;12013.28602193436;;
;Charges de gestion courante;2895;2822.0;73;2964;;;;;;;Autres charges;40.00643693894001;6.053654099999999;65.43993720764999;16.47512568;127.97515392659001;1.9947744499999942;129.96992837659002;;
;Autres charges nettes;94;93.0;1;74;;;;;;;Charges financières;4.76299534;1.27024223;6.12150913;11.43155141;23.58629811;0;23.58629811;;
;Total charges nettes;50319;50247.0;72;50692;;;;;;;Charges diverses;35.24344159894001;4.783411869999999;59.31842807765;5.043574270000001;104.38885581659001;1.9947744499999942;106.38363026659;;
;;;;;;;;;;;;;;;;;;;;;
;Chiffres DSS reconstitués famille;;;;;;;;;;;;Maladie;Vieillesse;Famille;AT-MP;Régimes de base (Md€);%;FSV;ROBSS+FSV (Md€);%
;;;;;;;;;;;;CHARGES NETTES;241810.5974432005;246037.63768110797;49977.944890875006;13660.124991588673;538096.7497774389;5.662812176788035;19126.34361086;538525.8915891891;5.650753006656983
;en Md€;Réalisé 2020;;LFSS 2020;Ecart;Ecart (%);;Réalisé 2019;Ecart;Ecart (%);;Prestations sociales nettes;222846.53437138954;242434.6624342956;36732.005947515005;10967.669730068674;511154.73230724566;4.884657951843163;0;511154.73230724566;4.884657951843163
;Prestations légales;31.095617382415007;;31.1;-0.004382617584994364;-0.00014092017958181234;;31.07324778374131;0.022369598673698476;0.0007198989571152293;;Prestations légales nettes;221513.38918402954;241857.95116110338;31094.96990972501;10476.465197368674;503116.6352762035;4.9907148478092855;0;503116.6352762035;4.9907148478092855
;Prestations extralégales;5.636388565100001;;5.7;-0.06361143489999943;-0.011159900859649022;;5.614601970989999;0.021786594110001722;0.0038803452537812195;;Prestations extralégales nettes;136.56500270000004;572.3656822721999;5636.388565100001;3.9664266500000003;6349.285676722199;0.28362950890288285;0;6349.285676722199;0.28362950890288285
;Autres prestations nettes;0;;0;0;;;0;0;;;Autres prestations nettes;1196.5801846599998;4.34559092;0.64747269;487.23810604999994;1688.8113543199997;-7.053824692702538;0;1688.8113543199997;-7.053824692702538
;Total prestations sociales nettes;36.732005947515006;;36.800000000000004;-0.06799405248499824;-0.0018476644697010389;;36.68784975473131;0.04415619278369576;0.001203564479218391;;Transferts nets;11870.20698023;1348.5873431401492;10281.142472309999;1591.21988528;13527.74162765015;++;18998.540980140002;13861.295938230152;++
;Transferts versés nets;10.281142472309998;;10.4;-0.11885752769000213;-0.011428608431730974;;10.27239497319;0.008747499119998281;0.0008515540088585422;;Transferts avec d'autres régimes de base;684.8481428200005;131.1835282466491;5241.634264429999;1239.71840386;728.2781420766496;4.738005446481863;0;728.2781420766496;4.738005446481863
;Charges de gestion courante;2.8918357588423493;;3;-0.10816424115765066;-0.03605474705255022;;2.8558469746161506;0.03598878422619878;0.012601790133043094;;Transfert avec des fonds;10437.352775119998;37.2857438235;5040.295226939999;295.00282928999997;10815.6277191435;++;18709.92869014;10860.569739723502;++
;Autres charges nettes;0.06543993720764998;;0;0.06543993720764998;;;0.05963961003385;0.005800327173799982;0.09725628941081031;;Autres transferts versés;748.00606229;1180.11807107;-0.7870190600000058;56.49865213;1983.83576643;-10.322360723824797;288.61229;2272.44805643;-10.323011167040574
;Total charges nettes;49.970424115875;;50.3;-0.32957588412499916;-0.006552204455765391;;49.875731312571304;0.094692803303694;0.0018985747338771642;;Charges de gestion courante;6750.948711772011;2012.0623878042002;2870.6768747099995;1005.6824628500001;12639.37043713621;0.4471904020503903;0.37687859;12639.74731572621;0.4458890763050949
;;;;;;;;;;;;Autres charges;342.90737980894005;242.32551586800002;94.11959633999999;95.55291338999999;774.9054054069401;-10.619567603838377;127.42575212999999;870.1160279869401;-11.803722371654036
;;;;;;;;;;;;Charges financières;5.568207930000001;194.99599391;6.12150913;15.33880817;222.02451914000002;-1.2409125759843431;0;222.02451914000002;-1.2409125759843431
;Chiffres DSS reconstitués vieillesse;;;;;;;;;;;Charges diverses;337.33917187894;47.329521958;87.99808721;80.21410522;552.88088626694;-13.902947532889954;127.42575212999999;648.0915088469401;-14.921096190233385
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;LFSS 2020 annexe 4;;;;;;;;;
;;;;;;;;;;;;;Maladie;Vieillesse;Famille;AT-MP;Régime général (Md€);FSV;RG+FSV (Md€);;
;en Md€;Réalisé 2020;;LFSS 2020;Ecart;"Ecart 
en %";;Réalisé 2019;Ecart;"Ecart 
en %";;CHARGES NETTES;222300;141700;50300;12200;413200;18200;414800;;
;Prestations légales;132.69335950338998;;133.6;-0.9066404966100094;-0.006786231262050969;;129.23473941500004;3.4586200883899494;0.026762309453680175;;Prestations sociales nettes;208300;134000;36900;9300;386400;0;386400;;
;Prestations extralégales;0.33084643316;;0.4;-0.06915356684000001;-0.17288391710000003;;0.34816327369;-0.01731684052999999;-0.049737700207342014;;Prestations légales nettes;208000;133600;31100;9300;380000;0;380000;;
;Autres prestations nettes;0;;0;0;;;0;0;;;Prestations extralégales nettes;100;400;5700;0;6300;0;6300;;
;Total prestations sociales nettes;133.02420593654998;;134;-0.9757940634500244;-0.007282045249627047;;129.58290268869004;3.441303247859935;0.026556769268607307;;Autres prestations nettes;100;0;0;0;200;0;200;;
;Transferts versés nets;5.085223883099999;;6.1;-1.0147761169000002;-0.16635674047540988;;5.95149482243;-0.8662709393300005;-0.14555518658357858;;Transferts nets;7200;6100;10400;2000;14500;18100;16000;;
;Charges de gestion courante;1.5267525553999999;;1.6;-0.07324744460000021;-0.04577965287500013;;1.581997111368;-0.05524455596800015;-0.03492076917904644;;Transferts avec d'autres régimes de base;800;6100;5400;1600;7100;17700;7100;;
;Autres charges nettes;0.006053654099999999;;0;0.006053654099999999;;;0.00612150913;-6.785503000000109e-05;;;Transfert avec des fonds;5600;0;5100;300;6400;0;7600;;
;Charges nettes régime général;139.64223602914996;;141.7;-2.057763970850033;-0.014521975799929662;;137.12251613161803;2.519719897531928;0.01837568306516019;;Autres transferts versés;900;0;0;100;1000;300;1300;;
