;Exécution 2020 de l’Ondam comparée à l’objectif initial de la LFSS 2020 et à l’exécution 2019;;;;;;;;;;;;
;;;;;;;;;;;;;
;En M€;"Réalisé 
2020 (p)";;;;;LFSS 2020;Écart ;"Écart 
en %";;"Réalisé 
2019";Écart ;"Écart 
en %"
;Soins de ville;94918.5016695293;;;;;93575.4234529357;1343.07821659358;0.014352894884510877;;91319.57766590324;3598.92400362605;0.03941021296433142
;Etablissements de santé;89726.01158886182;;;;;84382.64795024075;5343.363638621071;0.0633230144871962;;82505.46795036811;7220.543638493706;0.08751594067483245
;Etablissements médico-sociaux;23969.93;;;;;21626.167076816215;2343.7629231837855;0.10837625155020453;;20956.84408304;3013.0859169600008;0.14377574719842656
;Fonds d'intervention régional;3904.531776;;;;;3562.5969608148803;341.93481518511953;0.0959790902384052;;3526.880262;377.6515139999997;0.10707806501654342
;Autres prises en charge;7028.049743020572;;;;;2402.4877306140997;4625.562012406473;1.9253218043382612;;2254.4579495515027;4773.59179346907;2.117401122703894
;Total ONDAM;219547.02477741166;0.0;0.0;0.0;0.0;205550;13997.024777411658;0.06809547447050186;;200563.22791086283;18983.79686654883;0.09465242988104419
;;;;;;;;;;;;;
;Nota : l’exécution 2019 est décrite au périmètre de 2020;;;;;;;;;;;;
;Source : Cour des comptes d’après le rapport de la CCSS de juin 2021;;;;;;;;;;;;
