;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;2020 Réalisé;;;;;;;;;
;en Md€;Réalisé 2020;;LFSS 2020;"Ecart
en Md€";"Ecart
en %";;Réalisé 2019;"Ecart
en Md€";"Ecart
en %";;;Maladie;Vieillesse;Famille;AT-MP;Régime général (Md€);FSV;RG+FSV (Md€);;
;Maladie;238.75700035120994;;222.3;16.457000351209928;0.07403059087363889;;216.6;22.157000351209945;0.10229455379136632;;CHARGES NETTES;238757.00035120995;139642.23602914996;49970.424115875;12274.310686129998;427758.3361853118;19126.34361086;429441.2184208318;;
;AT-MP;12.274310686129999;;12.2;0.07431068612999958;0.006091039846721278;;12.2;0.07431068612999958;0.006091039846721278;;Prestations sociales nettes;220234.23573317198;133024.20593655;36732.005947515005;9369.97630035;397534.28374156385;0;397534.28374156385;;
;Famille;49.970424115875;;50.3;-0.32957588412499916;-0.006552204455765391;;49.9;0.07042411587499942;0.0014113049273546978;;Prestations légales nettes;219949.693334422;132693.35950338998;31095.617382415006;9369.97630035;391282.50634455384;0;391282.50634455384;;
;Vieillesse;139.64223602914996;;141.7;-2.057763970850033;-0.014521975799929662;;137.1;2.5422360291499615;0.018542932378920216;;Prestations extralégales nettes;116.64902657000002;330.84643316;5636.388565100001;0;6083.884024830001;0;6083.884024830001;;
;Total régime général;427.7583361853118;;413.2;14.558336185311816;0.035233146624665576;;402.8;24.958336185311794;0.06196210572321696;;Autres prestations nettes;167.89337218000006;0;0;0;167.89337218000006;0;167.89337218000006;;
;FSV;19.12634361086;;18.2;0.9263436108600018;0.0508980005967034;;18.8;0.3263436108600004;0.01735870270531917;;Transferts nets;11889.20020350699;5085.2238830999995;10281.142472309999;1986.3073862699998;18182.379124156992;18998.540980140002;19763.678728956987;;
;Régime général + FSV;429.4412184208318;;414.8;14.641218420831763;0.035297055016470014;;404.5;24.941218420831774;0.06165937804902787;;Transferts avec d'autres régimes de base;1026.3600479569911;5085.2238830999995;5240.84724537;1639.93474071;6406.57198558699;18709.92869014;6406.57198558699;;
;;;;;;;;;;;;Transfert avec des fonds;9985.07539557;0;5040.295226939999;289.87399343;10841.54372646;0;12134.23104126;;
;Maladie;240.2111843756005;;223.8;16.4111843756005;0.07332968889901921;;218.1;22.111184375600516;0.10138094624301017;;Autres transferts versés;877.76475998;0;0;56.49865213;934.26341211;288.61229;1222.87570211;;
;AT-MP;13.58548562684984;;13.6;-0.014514373150159798;-0.001067233319864691;;13.6;-0.014514373150159798;-0.001067233319864691;;Charges de gestion courante;6593.55797759201;1526.7525554;2891.835758842349;901.55187383;11913.69816566436;125.80785627;12013.28602193436;;
;Famille;49.994373485875;;50.3;-0.3056265141249952;-0.006076073839463125;;49.9;0.09437348587500338;0.0018912522219439556;;Autres charges;40.00643693894001;6.053654099999999;65.43993720764999;16.47512568;127.97515392659001;1.9947744499999942;129.96992837659002;;
