;Graphique n° 9 : évolutions annuelles comparées des dépenses à périmètre constant et des recettes potentielles en valeur (2000-2016);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19
0;;;;;;;;;;;;;;;;;;;;
1;;1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0;
2;taux d'évolution potentielle des recettes (croissance potentielle);;0.035433455607683156;0.038055871436111874;0.037101394087044416;0.03555957461246771;0.03412729322458393;0.03727211296299544;0.03849371630681144;0.04249783370102251;0.03876186544306951;0.010883099401143887;0.021715373863482414;0.021014150681477037;0.022368181373727678;0.017917995182047432;0.015615527174515842;0.017484576395618578;0.023;0.009
3;évolution annuelle des dépenses nettes à périmètre constant;;0.0451463237822074;0.044479988946851685;0.05157575767397758;0.04802544116324218;0.0459564783307016;0.047046747692418005;0.042850318139759036;0.0456121455610762;0.03963857093393397;0.03089154913330927;0.02864562926969727;0.029692389276024134;0.028171697126030404;0.024777724572971005;0.020450625646416087;0.01527874998516971;0.017369984930581468;
