;Graphique n° 21 :  parts de marché par secteur (2008-2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8
0;;;;;;;;;
1;;;;;;;;;
2;;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0
3;ESPIC;0.05549155266329621;0.05816744796130542;0.05991568185996828;0.060161787082617324;0.060714327926558606;0.0619724984486925;0.06158084670820249;0.06323020348628187
4;Privé;0.581428305138175;0.5753953673823773;0.5731502287028784;0.5716195436219518;0.5670304054119611;0.5624809484706336;0.559783023676177;0.5564421914750102
5;Public;0.3630801421985288;0.3664371846563173;0.36693408943715333;0.36821866929543096;0.37225526666148023;0.375546553080674;0.37863612961562043;0.38032760503870794
