;Graphique n° 20 : incidence de la T2A sur le nombre de séjours de chirurgie rapporté à celui des séjours de médecine et d’obstétrique (2003-2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;part des séjours de chirurgie / séjours de MO;;;;;
2;2003.0;0.4794773167122436;;;;;
3;2004.0;0.45904101993773877;;;;;
4;2005.0;0.4547491446908523;;;;;
5;2006.0;0.44834111837671164;;;;;
6;2007.0;0.4602389696525417;;;;;
7;2008.0;0.46088871200210824;;;;;
8;2009.0;0.4739407706612258;;;;;
9;2010.0;0.48036859916668284;;;;;
10;2011.0;0.4878206586954209;;;;;
11;2012.0;0.4882669853328972;;;;;
12;2013.0;0.4902525115967266;;;;;
13;2014.0;0.49168138376936166;;;;;
14;2015.0;0.48808455164821435;;;;;
