;Graphique n° 6 : composante conjoncturelle du solde des régimes de base et du FSV (1999-2016);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18
0;;;;;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;;;
2;;1999.0;2000.0;2001.0;2002.0;2003.0;2004.0;2005.0;2006.0;2007.0;2008.0;2009.0;2010.0;2011.0;2012.0;2013.0;2014.0;2015.0;2016.0
3;output gap de la DG-Trésor;-0.9574993081213127;2.880312156512282;3.407013095962373;2.2145960848023454;0.08874458449011259;2.742639202194334;2.3958216022505527;4.521264318016533;6.801236724663212;2.895242671887052;-9.47754007786556;-6.982902584250782;-4.376733357745587;-7.613274111523006;-9.4109818092933;-11.083015290662775;-10.653320219193981;-10.810968134885403
4;output gap de la Commission européenne;1.9747599481446987;5.740959487207918;6.317405598211875;4.999443345642449;2.8305134045409583;5.587139288786182;4.492717139715977;6.498567283415553;8.958932385237025;5.159723157320225;-7.241558447719289;-4.4917756457480955;-1.3567228097305348;-4.227711743456215;-5.099412367203761;-7.851911186320464;-6.82986337752284;-5.775776457542633
