;Graphique n° 29 : soutien aux familles ventilé par modalité d’intervention (en % du PIB, 2013 ou dernière année disponible);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
0;;;;;;
1;;;;;;
2;;;;;;
3;;;;;;
4;;;Total;Prestations monétaires;Prestations en nature;Avantages fiscaux
5;;;;;;
6;France;;3.6960496244453163;1.564657968429343;1.3490182311593957;0.7823734248565775
7;Royaume-Uni;;3.974265778594548;2.420997471102939;1.3812115777407834;0.17205672975082548
8;Danemark;;3.655835961826538;1.4186139362864587;2.2372220255400794;0
9;Suède;;3.6374665456540365;1.4478333561897647;2.189633189464272;0
10;Belgique;;3.376569712824477;1.8289675270321544;1.028001320416941;0.519600865375382
11;Allemagne;;3.115151861986191;1.1026176267367147;1.0680589957638138;0.944475239485662
12;Autriche;;2.615032784240962;1.900837382844005;0.6730897117837584;0.04110568961319854
13;Italie;;1.9652331339418736;0.7644854569129373;0.6541070219451665;0.5466406550837698
14;Pays-Bas;;1.8206974393207316;0.6580554561140158;0.688584504910882;0.4740574782958338
15;Espagne;;1.4542137390355945;0.5164328871674123;0.8153125283403777;0.12246832352780443
16;Canada;;1.4310640583417755;0.9806706788910615;0.22490000159485005;0.22549337785586382
17;États-Unis;;1.1872519924590867;0.09115318255359942;0.596861012242071;0.49923779766341636
