;Tableau n° 14 : modification de taux de répartition des prélèvements sociaux et impôts et taxes – effet sur la branche famille;Unnamed: 1
0;;
1;;
2;;Effet 2016
3;Pertes de recettes;-1.9
4;CSG revenus d'activité et de remplacement;-0.2
5;CSG sur les revenus du capital;-1
6;Suppression du « préciput » assurance-vie;-0.7
7;Compensation;0.2
8;Taxe sur les salaires;0.2
9;Total;-1.8
