;Graphique n° 24 : évolution du taux de chirurgie ambulatoire par catégorie d’établissement de santé (2010-2015);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
0;;;;;;;
1;;;;;;;
2;Ets;Taux de chirurgie ambulatoire;;;;;
3;;2010;2011.0;2012.0;2013.0;2014.0;2015.0
4;CH;28.98597368421053;30.38444148936169;31.342368421052644;32.98414893617018;34.243597883597886;35.76634920634922
5;CHR;23.124999999999996;24.722499999999997;25.719687499999996;26.671250000000004;28.130937499999998;29.569062499999998
6;CLCC;27.05947368421053;29.493157894736843;32.87157894736843;34.35473684210527;39.93000000000001;47.711
7;Cliniques;50.52597165991905;52.4066666666667;53.26094949494946;55.36170040485829;57.77661914460289;58.95707317073164
8;ESPIC;33.85974999999999;36.49657894736841;40.22830985915493;40.527605633802814;39.642666666666656;42.51706666666667
