;Graphique n° 33 : niveau de soutien selon l’âge de l’enfant pour une personne seule élevant deux enfants et ayant un revenu égal à 50 % du salaire moyen (2014);Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7
0;;;;;;;;
1;;;;;;;;
2;;;;;;;;
3;;Allemagne;Danemark;Espagne;France;Royaume-Uni;Italie;Suède
4;3.0;0.19812106558059445;0.2614034561879988;0.028198161307577654;0.16536650454493426;0.28433912262467365;0.0987103196277603;0.22342576304183273
5;4.0;0.1633892128722789;0.2539465481575586;0.028198161307577654;0.17505534790916075;0.28433912262467365;0.0987103196277603;0.22342576304183273
6;5.0;0.1633892128722789;0.2539465481575586;0.028198161307577654;0.17505534790916075;0.28433912262467365;0.0987103196277603;0.22342576304183273
7;6.0;0.13083354141135153;0.24648964012711846;0.028198161307577654;0.18474419127338731;0.28433912262467365;0.0987103196277603;0.22342576304183273
8;7.0;0.13083354141135153;0.24648964012711846;0.028198161307577654;0.18474419127338731;0.28433912262467365;0.0987103196277603;0.22342576304183273
9;8.0;0.13083354141135153;0.24648964012711846;0.028198161307577654;0.18474419127338731;0.28433912262467365;0.0987103196277603;0.22342576304183273
10;9.0;0.13083354141135153;0.24648964012711846;0.028198161307577654;0.18527881231894805;0.28433912262467365;0.0987103196277603;0.22342576304183273
11;10.0;0.13083354141135153;0.24648964012711846;0.028198161307577654;0.18527881231894805;0.28433912262467365;0.0987103196277603;0.22342576304183273
12;11.0;0.13083354141135153;0.24648964012711846;0.028198161307577654;0.18581343336450878;0.28433912262467365;0.0987103196277603;0.22342576304183273
13;12.0;0.13083354141135153;0.24648964012711846;0.028198161307577654;0.20496335108718605;0.28433912262467365;0.0987103196277603;0.22342576304183273
14;13.0;0.13083354141135153;0.24648964012711846;0.028198161307577654;0.20531746109846746;0.28433912262467365;0.0987103196277603;0.22342576304183273
15;14.0;0.12463142485629519;0.24648964012711846;0.028198161307577654;0.20531746109846746;0.26456513114455593;0.0987103196277603;0.22342576304183273
16;15.0;0.12463142485629519;0.24648964012711846;0.028198161307577654;0.20567157110974887;0.26456513114455593;0.0987103196277603;0.22342576304183273
17;16.0;0.12463142485629519;0.19412020775139566;0.028198161307577654;0.20567157110974887;0.2132131021884887;0.0987103196277603;0.22342576304183273
18;17.0;0.12463142485629519;0.19412020775139566;0.028198161307577654;0.20567157110974887;0.2132131021884887;0.0987103196277603;0.22342576304183273
19;18.0;0.1873629857649818;0.12821563191961077;0.028198161307577654;0.19509399668868016;0.12395632318810536;0.0987103196277603;0.12715502549102725
20;19.0;0.1873629857649818;0.12821563191961077;0.028198161307577654;0.0884752597286288;0.07261997069269237;0.1588908629779491;0.12715502549102725
21;20.0;0.1873629857649818;0.12821563191961077;0.028198161307577654;0.0884752597286288;0.01037491187472162;0.1588908629779491;0.020676961837835735
22;21.0;0.1873629857649818;0.12821563191961077;0.028198161307577654;0;0.01037491187472162;0.0987103196277603;0
23;22.0;0.1873629857649818;0.12821563191961077;0.028198161307577654;0;0.01037491187472162;0.0987103196277603;0
24;23.0;0.15108517389852166;0.12821563191961077;0.028198161307577654;0;0.01037491187472162;0.0987103196277603;0
25;24.0;0.15108517389852166;0.12821563191961077;0.028198161307577654;0;0.01037491187472162;0.0987103196277603;0
26;25.0;0.05816127287207106;0.12821563191961077;0.028198161307577654;0;0.01037491187472162;0.0987103196277603;0
27;26.0;0.05816127287207106;0.12821563191961077;0.028198161307577654;0;0.01037491187472162;0.0987103196277603;0
28;27.0;0.05816127287207106;0.12821563191961077;0.028198161307577654;0;0.01037491187472162;0.0987103196277603;0
