;Tableau n° 18 : modification de taux de répartition des prélèvements sociaux et impôts et taxes – effet sur le FSV;Unnamed: 1
0;;
1;;
2;;Effet 2016
3;Pertes de recettes;-15.1
4;CSG revenus d'activité et de remplacement;-10.1
5;C3S;-0.5
6;Taxe sur les salaires;-3.5
7;Forfait social;-1
8;Compensation;15.3
9;CSG sur les revenus du capital;8.6
10;Prélèvement social sur les revenus du capital;4.2
11;Prélèvement de solidarité sur les revenus du capital;2.5
12;Total;0.2
